Phase,Comparison,Test,Group,N,N_events,Statistic,p_value,FDR_WithinPhase,Significant,Effect_Size
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Neuroblastoma,4231,22,11591.0,0.0,0.0,***,0.7496
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Hemangioblastoma,4231,20,71067.5,0.0,0.0,***,-0.6877
Phase 3,TF × CANCER_GROUP,Kruskal-Wallis,global,2877,2877,110.0441,0.0,0.0,***,0.0336
Phase 3,TF × CANCER_GROUP,Mann-Whitney,Low-grade glioma,2877,521,651154.0,0.028162,0.07126474193548386,*,-0.061
Phase 3,TF × CANCER_GROUP,Mann-Whitney,High-grade glioma,2877,271,291537.0,2e-06,1.0266666666666666e-05,***,0.1744
Phase 3,TF × CANCER_GROUP,Mann-Whitney,Diffuse midline glioma,2877,367,378181.0,0.0,0.0,***,0.1789
Phase 3,TF × CANCER_GROUP,Mann-Whitney,Ependymoma,2877,236,354543.0,0.000412,0.0015106666666666667,***,-0.1377
Phase 3,TF × CANCER_GROUP,Mann-Whitney,nan,2877,132,211815.0,0.000937,0.0032795000000000003,***,-0.1692
Phase 3,TF × CANCER_GROUP,Mann-Whitney,Adamantinomatous Craniopharyngioma,2877,84,147026.0,6.7e-05,0.00025795,***,-0.2534
Phase 3,TF × CANCER_GROUP,Mann-Whitney,Neurofibroma/Plexiform,2877,38,68263.0,0.004596,0.01361123076923077,**,-0.2655
Phase 3,TP × CANCER_GROUP,Kruskal-Wallis,global,2938,2938,56.8332,3.8e-05,0.00016255555555555557,***,0.0132
Phase 3,TP × CANCER_GROUP,Mann-Whitney,Low-grade glioma,2938,542,616823.0,0.023727,0.06299927586206897,*,0.05
Phase 3,TP × CANCER_GROUP,Mann-Whitney,Diffuse midline glioma,2938,374,506478.5,0.028691,0.07126474193548386,*,-0.0563
Phase 3,TP × CANCER_GROUP,Mann-Whitney,Meningioma,2938,74,118311.5,0.033456,0.07806400000000001,*,-0.1165
Phase 3,TP × CANCER_GROUP,Mann-Whitney,Choroid plexus tumor,2938,68,114758.0,0.002042,0.006551416666666666,**,-0.176
Phase 3,TP × CANCER_GROUP,Mann-Whitney,Dysembryoplastic neuroepithelial tumor,2938,48,57544.5,0.011867,0.03384292592592593,*,0.1704
Phase 3,TP × CANCER_GROUP,Mann-Whitney,Chordoma,2938,22,41518.5,0.003109,0.00957572,**,-0.2944
Phase 3,AGE × TF,Spearman,global,2826,2826,-0.0879,3e-06,1.44375e-05,***,-0.0879
Phase 3,AGE × TP,Spearman,global,2887,2887,0.039,0.035924,0.08004700000000001,*,0.039
Phase 3,TF × TP,Spearman,global,2876,2876,-0.0843,6e-06,2.7176470588235296e-05,***,-0.0843
